title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
A Multimodal Intelligent Change Assessment Framework for Microservice Systems Based on Large Language Models,10.1145/3696630.3728561,"Sun, Yongqian and Zheng, Tinghua and Wen, Xidao and Kuang, Weihua and Liu, Heng and Zhang, Shenglin and Shen, Chao and Wu, Bo and Pei, Dan",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
A Novel Approach for Automated Design Information Mining from Issue Logs,,Jiuang Zhao; Zitian Yang; Li Zhang; Xiaoli Lian; Donghao Yang,2024,arXiv,SE-G1 AND AI-G1,1,cs.SE; ASE 2024,ASE
A Novel Refactoring and Semantic Aware Abstract Syntax Tree Differencing Tool and a Benchmark for Evaluating the Accuracy of Diff Tools,10.1145/3696002,"Alikhanifard, Pouria and Tsantalis, Nikolaos",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Pair Programming Framework for Code Generation via Multi-Plan Exploration and Feedback-Driven Refinement,10.1145/3691620.3695506,"Zhang, Huan and Cheng, Wei and Wu, Yuhan and Hu, Wei",2024,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
A Practitioner's Guide to Multi-turn Agentic Reinforcement Learning,,Ruiyi Wang; Prithviraj Ammanabrolu,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.LG; NeurIPS 2025,NeurIPS
A Preliminary Study on Large Language Models Self-Negotiation in Software Engineering,10.1109/icsme64153.2025.00088,C. Tao; H. Shu; M. Kondo; Y. Kamei,2025,IEEE,SE-G1 AND AI-G1,1,2025 IEEE International Conference on Software Maintenance and Evolution (ICSME),ICSME
A Real-World Benchmark for Evaluating Fine-Grained Issue Solving Capabilities of Large Language Models,,Ruida Hu; Chao Peng; Jingyi Ren; Bo Jiang; Xiangxin Meng; Qinyun Wu; Pengfei Gao; Xinchen Wang; Cuiyun Gao,2024,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
A Research Roadmap for Augmenting Software Engineering Processes and Software Products with Generative AI,10.1145/3788879,"Amalfitano, Domenico and Metzger, Andreas and Autili, Marco and Fulcini, Tommaso and Hey, Tobias and Keim, Jan and Pelliccione, Patrizio and Scotti, Vincenzo and Koziolek, Anne and Mirandola, Raffaela and Vogelsang, Andreas",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Roadmap for Software Testing in Open-Collaborative and AI-Powered Era,10.1145/3709355,"Wang, Qing and Wang, Junjie and Li, Mingyang and Wang, Yawen and Liu, Zhe",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Rubric-Supervised Critic from Sparse Real-World Outcomes,,Xingyao Wang; Valerie Chen; Heng Ji; Graham Neubig,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI,arXiv
A Self-Evolving Framework for Efficient Terminal Agents via Observational Context Compression,,Jincheng Ren; Siwei Wu; Yizhi Li; Kang Zhu; Shu Xu; Boyu Feng; Ruibin Yuan; Wei Zhang; Riza Batista-Navarro; Jian Yang; Chenghua Lin,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
A Self-Improving Coding Agent,,Maxime Robeyns; Martin Szummer; Laurence Aitchison,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; ICLR 2025 Workshop on Scaling Self-Improving Foundation Models (Oral),ICLR
A Study on the Impact of Fault localization Granularity for Repository-Scale Code Repair Tasks,,Joseph Townsend; Chandresh Pravin; Kwun Ho Ngan; Matthieu Parizy,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
A Survey of Learning-based Automated Program Repair,10.1145/3631974,"Zhang, Quanjun and Fang, Chunrong and Ma, Yuxiang and Sun, Weisong and Chen, Zhenyu",2023,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Survey of Learning-based Method Name Prediction,10.1145/3771999,"Qian, Hanwei and Liu, Wei and Xu, Tingting and Yin, Jie and Feng, Xia and Sun, Weisong and Ding, Ziqi and Chen, Yuchen and Miao, Yun and Li, Jiaxun and Zhao, Jianhua and Fang, Chunrong",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
"A Survey of LLM-based Automated Program Repair: Taxonomies, Design Paradigms, and Applications",,Boyang Yang; Zijian Cai; Fengling Liu; Bach Le; Lingming Zhang; Tegawendé F. Bissyandé; Yang Liu; Haoye Tian,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
A Survey of Source Code Search: A 3-Dimensional Perspective,10.1145/3656341,"Sun, Weisong and Fang, Chunrong and Ge, Yifei and Hu, Yuling and Chen, Yuchen and Zhang, Quanjun and Ge, Xiuting and Liu, Yang and Chen, Zhenyu",2024,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Survey on Large Language Models for Code Generation,10.1145/3747588,"Jiang, Juyong and Wang, Fan and Shen, Jiasi and Kim, Sungju and Kim, Sunghun",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Survey on LLM-based Code Generation for Low-Resource and Domain-Specific Programming Languages,10.1145/3770084,"Joel, Sathvik and Wu, Jie and Fard, Fatemeh",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Systematic Literature Review of Parameter-Efficient Fine-Tuning for Large Code Models,10.1145/3796522,"Afrin, Saima and Haque, MD Zahidul and Mastropaolo, Antonio",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
A Systematic Literature Review on Large Language Models for Automated Program Repair,10.1145/3799693,"Zhang, Quanjun and Fang, Chunrong and Xie, Yang and Ma, Yuxiang and Sun, Weisong and Yang, Yun and Chen, Zhenyu",2026,ACM+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,5,ACM Trans. Softw. Eng. Methodol.; cs.SE,TOSEM
A Tool for In-depth Analysis of Code Execution Reasoning of Large Language Models,10.1145/3696630.3728605,"Liu, Changshu and Jabbarvand, Reyhan",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
Abstain and Validate: A Dual-LLM Policy for Reducing Noise in Agentic Program Repair,,José Cambronero; Michele Tufano; Sherry Shi; Renyao Wei; Grant Uy; Runxiang Cheng; Chin-Jung Liu; Shiying Pan; Satish Chandra; Pat Rondon,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE 2025 (SEIP Track),ICSE
Accelerating Automatic Program Repair with Dual Retrieval-Augmented Fine-Tuning and Patch Generation on Large Language Models,,Hanyang Guo; Xiaoheng Xie; Hong-Ning Dai; Peng Di; Yu Zhang; Bishenghui Tao; Zibin Zheng,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
Accessibility Issue Detection and Repair in Mobile Applications: A Systematic Literature Review,10.1145/3809496,"Liu, Zhenyu and Yao, Dengfeng and Liu, Hongzhe and Xu, Cheng and Huang, Huiyue",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
ACE-RLHF: Automated Code Evaluation and Socratic Feedback Generation Tool using Large Language Models and Reinforcement Learning with Human Feedback,,Tasnia Rahman; Sathish A. P. Kumar; Sumit Jha; Arvind Ramanathan,2025,arXiv,SE-G1 AND AI-G1,1,cs.LG,arXiv
ACE: Automated Technical Debt Remediation with Validated Large Language Model Refactorings,10.1145/3696630.3730565,"Tornhill, Adam and Borg, Markus and Hagatulah, Nadim and Söderberg, Emma",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
ACFix: Guiding LLMs With Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,10.1109/tse.2025.3590108,L. Zhang; K. Li; K. Sun; D. Wu; Y. Liu; H. Tian; Y. Liu,2025,IEEE,SE-G1 AND AI-G1,1,IEEE Transactions on Software Engineering,TSE
Act As a Real Researcher: A Suite of Benchmarks Evaluating Frontier LLMs and Agentic Harnesses in Research Lifecycle,,Jiayu Wang; Weijiang Lv; Bowen Fu; Jing Fu; Jiayi Song; Lingyu Zhang; Lanxuan Xue; Luodi Chen; Zepeng Xin; Kaiyu Li; Xiangyong Cao,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Active Context Compression: Autonomous Memory Management in LLM Agents,,Nikhil Verma,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Adapting Knowledge Prompt Tuning for Enhanced Automated Program Repair,10.1109/saner64311.2025.00041,X. Cai; L. Jiang,2025,IEEE+arXiv,SE-G1 AND AI-G1,2,"2025 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER); cs.SE",SANER
AdaptiveLog: An Adaptive Log Analysis Framework with the Collaboration of Large and Small Language Model,10.1145/3749840,"Ma, Lipeng and Yang, Weidong and Li, Yixuan and Fei, Ben and Zhou, Mingjie and Li, Shuhao and Jiang, Sihang and Xu, Bo and Xiao, Yanghua",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
AdaptivePaste: Intelligent Copy-Paste in IDE,10.1145/3611643.3613895,"Liu, Xiaoyu and Jang, Jinu and Sundaresan, Neel and Allamanis, Miltiadis and Svyatkovskiy, Alexey",2023,ACM,SE-G1 AND AI-G1,1,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,FSE
AdaptOrch: Task-Adaptive Multi-Agent Orchestration in the Era of LLM Performance Convergence,,Geunbin Yu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.MA,arXiv
AdaRubric: Task-Adaptive Rubrics for Reliable LLM Agent Evaluation and Reward Learning,,Liang Ding,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI; KnowFM Workshop @ ACL 2026,ACL
ADK Arena: Evaluating Agent Development Kits via LLM-as-a-Developer,,Jintao Huang; Xiaomin Li; Gaurav Mittal; Yu Hu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Advances and Frontiers of LLM-based Issue Resolution in Software Engineering: A Comprehensive Survey,,Caihua Li; Lianghong Guo; Yanlin Wang; Daya Guo; Wei Tao; Zhenyu Shan; Mingwei Liu; Jiachi Chen; Haoyu Song; Duyu Tang; Hongyu Zhang; Zibin Zheng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
"Advancing LLM-Based Issue Report Classification with Explained Few-Shot Learning, Intent Extraction, Ensemble, and Summarization",10.1145/3815577,"De Vito, Gabriele and Starace, Luigi Libero Lucio and Palomba, Fabio and Di Martino, Sergio and Ferrucci, Filomena",2026,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
Adversarial Bug Reports as a Security Risk in Language Model-Based Automated Program Repair,,Piotr Przymus; Andreas Happe; Jürgen Cito,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Adversarial Reasoning for Repair Based on Inferred Program Intent,,He Ye; Aidan Z. H. Yang; Chang Hu; Yanlin Wang; Tao Zhang; Claire Le Goues,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE; ISSTA 2025,ISSTA
AdvSCanner: Generating Adversarial Smart Contracts to Exploit Reentrancy Vulnerabilities Using LLM and Static Analysis,10.1145/3691620.3695482,"Wu, Yin and Xie, Xiaofei and Peng, Chenyang and Liu, Dijun and Wu, Hao and Fan, Ming and Liu, Ting and Wang, Haijun",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,ASE
