title,doi,authors,year,sources,query_groups,cluster_size,venue,primary_venue
ContractTinker: LLM-Empowered Vulnerability Repair for Real-World Smart Contracts,10.1145/3691620.3695349,"Wang, Che and Zhang, Jiashuo and Gao, Jianbo and Xia, Libin and Guan, Zhi and Chen, Zhong",2024,ACM+IEEE+arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,6,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering; 2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE); cs.SE,ASE
ContrastRepair: Enhancing Conversation-Based Automated Program Repair via Contrastive Test Case Pairs,10.1145/3719345,"Kong, Jiaolong and Xie, Xiaofei and Cheng, Mingfei and Liu, Shangqing and Du, Xiaoning and Guo, Qi",2025,ACM+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.; cs.SE,TOSEM
Coordinated Flaw Disclosure for AI: Beyond Security Vulnerabilities,,"Cattell, Sven and Ghosh, Avijit and Kaffee, Lucie-Aimée",2025,ACM,SE-G1 AND AI-G1,1,"Proceedings of the 2024 AAAI/ACM Conference on AI, Ethics, and Society",AAAI
CooTest: An Automated Testing Approach for V2X Communication Systems,10.1145/3650212.3680373,"Guo, An and Gao, Xinyu and Chen, Zhenyu and Xiao, Yuan and Liu, Jiakai and Ge, Xiuting and Sun, Weisong and Fang, Chunrong",2024,ACM,SE-G1 AND AI-G2,1,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
CORE-Bench: A Comprehensive Benchmark for Code Retrieval in the Era of Agentic Coding,,Fuwei Zhang; Yanzhao Zhang; Mingxin Li; Dingkun Long; Lexiang Hu; Pengjun Xie; Zhao Zhang; Fuzhen Zhuang,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.IR,arXiv
CoRe: Benchmarking LLMs Code Reasoning Capabilities through Static Analysis Tasks,,Danning Xie; Mingwei Zheng; Xuwei Liu; Jiannan Wang; Chengpeng Wang; Lin Tan; Xiangyu Zhang,2025,arXiv,SE-G1 AND AI-G1,1,"cs.SE; NeurIPS 2025 (Datasets & Benchmarks Track, Spotlight)",NeurIPS
CORE: Resolving Code Quality Issues using LLMs,10.1145/3643762,"Wadhwa, Nalin and Pradhan, Jui and Sonwane, Atharv and Sahu, Surya Prakash and Natarajan, Nagarajan and Kanade, Aditya and Parthasarathy, Suresh and Rajamani, Sriram",2024,ACM,SE-G1 AND AI-G1,1,FSE/ESEC,FSE
CoRet: Improved Retriever for Code Editing,,Fabio Fehr; Prabhu Teja Sivaprasad; Luca Franceschi; Giovanni Zappella,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.LG; ACL 2025 (Short Papers),ACL
CoreThink: A Symbolic Reasoning Layer to reason over Long Horizon Tasks with LLMs,,Jay Vaghasiya; Omkar Ghugarkar; Vishvesh Bhat; Vipul Dholaria; Julian McAuley,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
Counterexample Guided Program Repair Using Zero-Shot Learning and MaxSAT-based Fault Localization,,Pedro Orvalho; Mikoláš Janota; Vasco Manquinho,2024,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE; AAAI 2025,AAAI
Counterfactual Trace Auditing of LLM Agent Skills,,Xiaolin Zhou; Jinbo Liu; Li Li; Ryan A. Rossi; Xiyang Hu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
CR-Bench: Evaluating the Real-World Utility of AI Code Review Agents,,Kristen Pereira; Neelabh Sinha; Rajat Ghosh; Debojyoti Dutta,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
CRANE: Constrained Reasoning Injection for Code Agents via Nullspace Editing,,Mingzhi Zhu; Michele Merler; Raju Pavuluri; Stacy Patterson,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
CrashTranslator: Automatically Reproducing Mobile Application Crashes Directly from Stack Trace,10.1145/3597503.3623298,"Huang, Yuchao and Wang, Junjie and Liu, Zhe and Wang, Yawen and Wang, Song and Chen, Chunyang and Hu, Yuanzhe and Wang, Qing",2024,ACM+IEEE,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering; 2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),ICSE
CREF: An LLM-Based Conversational Software Repair Framework for Programming Tutors,10.1145/3650212.3680328,"Yang, Boyang and Tian, Haoye and Pian, Weiguo and Yu, Haoran and Wang, Haitao and Klein, Jacques and Bissyandé, Tegawendé F. and Jin, Shunfu",2024,ACM+arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis; cs.SE,ISSTA
CRISPE: Semantic-Guided Execution Planning and Dynamic Reasoning for Enhancing Code Coverage Prediction,10.1145/3729401,"Dhulipala, Hridya and Yadavally, Aashish and Patel, Smit Soneshbhai and Nguyen, Tien N.",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,FSE/ESEC,FSE
CrossProbe: LLM-Empowered Cross-Project Bug Detection for Deep Learning Frameworks,10.1145/3728984,"Guan, Hao and Bai, Guangdong and Liu, Yepang",2025,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,ISSTA,ISSTA
Cut to the Chase: An Error-Oriented Approach to Detect Error-Handling Bugs,10.1145/3660787,"Liu, Haoran and Jia, Zhouyang and Li, Shanshan and Lei, Yan and Yu, Yue and Jiang, Yu and Mao, Xiaoguang and Liao, Xiangke",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,FSE/ESEC,FSE
CWM: An Open-Weights LLM for Research on Code Generation with World Models,,FAIR CodeGen team; Jade Copet; Quentin Carbonneaux; Gal Cohen; Jonas Gehring; Jacob Kahn; Jannik Kossen; Felix Kreuk; Emily McMilin; Michel Meyer; Yuxiang Wei; David Zhang; Kunhao Zheng; Jordi Armengol-Estapé; Pedram Bashiri; Maximilian Beck; Pierre Chambon; Abhishek Charnalia; Chris Cummins; Juliette Decugis; Zacharias V. Fisches; François Fleuret; Fabian Gloeckle; Alex Gu; Michael Hassid; Daniel Haziza; Badr Youbi Idrissi; Christian Keller; Rahul Kindi; Hugh Leather; Gallil Maimon; Aram Markosyan; Francisco Massa; Pierre-Emmanuel Mazaré; Vegard Mella; Naila Murray; Keyur Muzumdar; Peter O'Hearn; Matteo Pagliardini; Dmitrii Pedchenko; Tal Remez; Volker Seeker; Marco Selvi; Oren Sultan; Sida Wang; Luca Wehrstedt; Ori Yoran; Lingming Zhang; Taco Cohen; Yossi Adi; Gabriel Synnaeve,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
CyberGym-E2E: Scalable Real-World Benchmark for AI Agents' End-to-End Cybersecurity Capabilities,,Tianneng Shi; Robin Rheem; Dongwei Jiang; Mona Wang; Francisco De La Riega; Zhun Wang; Jingzhi Jiang; Alexander Cheung; Sean Tai; Jonah Cha; Jianhong Tu; Gabriel Han; Chenguang Wang; Jingxuan He; Wenbo Guo; Dawn Song,2026,arXiv,SE-G2 AND AI-G2,1,cs.CR; ICML 2026,ICML
DARS: Dynamic Action Re-Sampling to Enhance Coding Agent Performance by Adaptive Tree Traversal,,Vaibhav Aggarwal; Ojasv Kamal; Abhinav Japesh; Zhijing Jin; Bernhard Schölkopf,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.CL; ACL 2025,ACL
Darwin Godel Machine: Open-Ended Evolution of Self-Improving Agents,,Jenny Zhang; Shengran Hu; Cong Lu; Robert Lange; Jeff Clune,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; ICLR 2026,ICLR
Debug2Fix: Supercharging Coding Agents with Interactive Debugging Capabilities,,Huang Garg,2026,arXiv,SE-G1 AND AI-G2,1,cs.SE,arXiv
daVinci-Dev: Agent-native Mid-training for Software Engineering,,Ji Zeng; Dayuan Fu; Tiantian Mi; Yumin Zhuang; Yaxing Huang; Xuefeng Li; Lyumanshan Ye; Muhang Xie; Qishuo Hua; Zhen Huang; Mohan Jiang; Hanning Wang; Jifan Lin; Yang Xiao; Jie Sun; Yunze Wu; Pengfei Liu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICML 2026,ICML
daVinci-Env: Open SWE Environment Synthesis at Scale,,Dayuan Fu; Shenyu Wu; Yunze Wu; Zerui Peng; Yaxing Huang; Jie Sun; Ji Zeng; Mohan Jiang; Lin Zhang; Yukun Li; Jiarui Hu; Liming Liu; Jinlong Hou; Pengfei Liu,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Debug Like a Human: Scaling LLM-based Fault Localization to Processor Design via Block-Level Instruction-Oriented Slicing,,Zizhen Liu; Xiaoguang Mao; Deheng Yang; Jiayu He; Yihao Qin; Guangda Zhang; Yan Lei; Jianjun Xu; Jiang Wu,2026,arXiv,SE-G2 AND AI-G1,1,cs.SE,arXiv
Debug2Fix: Can Interactive Debugging Help Coding Agents Fix More Bugs?,,Spandan Garg; Yufan Huang,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
Debugging with Open-Source Large Language Models: An Evaluation,10.1145/3674805.3690758,"Majdoub, Yacine and Ben Charrada, Eya",2024,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,EMSE
DebugHarness: Emulating Human Dynamic Debugging for Autonomous Program Repair,,Maolin Sun; Yibiao Yang; Xuanlin Liu; Yuming Zhou; Baowen Xu,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,cs.SE,arXiv
DebugRepair: Enhancing LLM-Based Automated Program Repair via Self-Directed Debugging,,Linhao Wu; Yifei Pei; Zhen Yang; Kainan Li; Zhonghang Lu; Hao Tan; Xiran Lyu; Jia Li; Yizhou Chen; Pengyu Xue; Kunwu Zheng; Dan Hao,2026,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Decentralized Multi-Agent Systems with Shared Context,,Yuzhen Mao; Azalia Mirhoseini,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.MA,arXiv
Decision-Aware Memory Cards: Counterfactual-Inspired Context Selection and Compression for Tool-Using LLM Agents,,Xinyu Guan; Qianyang Zhao; Yuming Deng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.AI,arXiv
DeepCode AI Fix: Fixing Security Vulnerabilities with Large Language Models,,Berkay Berabi; Alexey Gronskiy; Veselin Raychev; Gishor Sivanrupan; Victor Chibotaru; Martin Vechev,2024,arXiv,SE-G1 AND AI-G1,1,cs.CR,arXiv
Defects4C: Benchmarking Large Language Model Repair Capability with C/C++ Bugs,10.1109/ase63991.2025.00029,J. Wang; X. Xie; Q. Hu; S. Liu; J. Yu; J. Kong; Y. Li,2025,IEEE+arXiv,SE-G1 AND AI-G1,2,2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE); cs.SE,ASE
DeFort: Automatic Detection and Analysis of Price Manipulation Attacks in DeFi Applications,10.1145/3650212.3652137,"Xie, Maoyi and Hu, Ming and Kong, Ziqiao and Zhang, Cen and Feng, Yebo and Wang, Haijun and Xue, Yue and Zhang, Hao and Liu, Ye and Liu, Yang",2024,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
DeltaBox: Scaling Stateful AI Agents with Millisecond-Level Sandbox Checkpoint/Rollback,,Yunpeng Dong; Jingkai He; Shiqi Liu; Yuze Hou; Dong Du; Zhonghu Xu; Si Yu; Baochuan Yang; Yubin Xia; Haibo Chen,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.OS,arXiv
Demystifying and Detecting Misuses of Deep Learning APIs,10.1145/3597503.3639177,"Wei, Moshi and Harzevili, Nima Shiri and Huang, Yuekai and Yang, Jinqiu and Wang, Junjie and Wang, Song",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
Demystifying Faulty Code with LLM: Step-by-Step Reasoning for Explainable Fault Localization,,Ratnadira Widyasari; Jia Wei Ang; Truong Giang Nguyen; Neil Sharma; David Lo,2024,arXiv,SE-G2 AND AI-G1,1,cs.SE; SANER 2024,SANER
Demystifying Faulty Code: Step-by-Step Reasoning for Explainable Fault Localization,10.1109/saner60148.2024.00064,R. Widyasari; J. W. Ang; T. G. Nguyen; N. Sharma; D. Lo,2024,IEEE,SE-G2 AND AI-G1,1,"2024 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)",SANER
Demystifying LLM-Based Software Engineering Agents,10.1145/3715754,"Xia, Chunqiu Steven and Deng, Yinlin and Dunn, Soren and Zhang, Lingming",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,FSE/ESEC,FSE
Demystifying Memorization in LLM-Based Program Repair via a General Hypothesis Testing Framework,10.1145/3729390,"Kong, Jiaolong and Xie, Xiaofei and Liu, Shangqing",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,FSE/ESEC,FSE
DeNovoSWE: Scaling Long-Horizon Environments for Generating Entire Repositories from Scratch,,Jiale Zhao; Guoxin Chen; Fanzhe Meng; Wayne Xin Zhao; Ruihua Song; Ji-Rong Wen; Kai Jia,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
DesignRepair: Dual-Stream Design Guideline-Aware Frontend Repair with Large Language Models,10.1109/icse55347.2025.00109,"Yuan, Mingyue and Chen, Jieshan and Xing, Zhenchang and Quigley, Aaron and Luo, Yuyu and Luo, Tianqi and Mohammadi, Gelareh and Lu, Qinghua and Zhu, Liming",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,ICSE
Detecting and Reducing the Factual Hallucinations of Large Language Models with Metamorphic Testing,10.1145/3715784,"Wu, Weibin and Cao, Yuhang and Yi, Ning and Ou, Rongyi and Zheng, Zibin",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2,2,FSE/ESEC,FSE
Detecting Code Smells using ChatGPT: Initial Insights,10.1145/3674805.3690742,"Silva, Luciana Lourdes and Silva, Janio Rosa da and Montandon, Joao Eduardo and Andrade, Marcus and Valente, Marco Tulio",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,EMSE
Detecting Protracted Vulnerabilities in Open Source Projects,10.1145/3809490,"Sridharkumar, Arjun and Al Hajj Ibrahim, Sara and Zhou, Jiayuan and Wang, Yuliang and Hassan, Safwat and Hassan, Ahmed E. and Zhou, Shurui",2026,ACM,SE-G2 AND AI-G1+SE-G2 AND AI-G2,2,ACM Trans. Softw. Eng. Methodol.,TOSEM
"Detecting, Creating, Repairing, and Understanding Indivisible Multi-Hunk Bugs",10.1145/3660828,"Xin, Qi and Wu, Haojun and Tang, Jinran and Liu, Xinyu and Reiss, Steven P. and Xuan, Jifeng",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,FSE/ESEC,FSE
DevGPT: Studying Developer-ChatGPT Conversations,10.1145/3643991.3648400,"Xiao, Tao and Treude, Christoph and Hata, Hideaki and Matsumoto, Kenichi",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 21st International Conference on Mining Software Repositories,MSR
Dialogue SWE-Bench: A Benchmark for Dialogue-Driven Coding Agents,,Brendan King; Jeffrey Flanigan,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
DiSCo: Towards Decompiling EVM Bytecode to Source Code using Large Language Models,10.1145/3729373,"Su, Xing and Liang, Hanzhong and Wu, Hao and Niu, Ben and Xu, Fengyuan and Zhong, Sheng",2025,ACM,SE-G1 AND AI-G1,1,FSE/ESEC,FSE
Dissecting the SWE-Bench Leaderboards: Profiling Submitters and Architectures of LLM- and Agent-Based Repair Systems,,Matias Martinez; Xavier Franch,2025,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICSE-SEIP 2026,ICSE
Diversity Empowers Intelligence: Integrating Expertise of Software Engineering Agents,,Kexun Zhang; Weiran Yao; Zuxin Liu; Yihao Feng; Zhiwei Liu; Rithesh Murthy; Tian Lan; Lei Li; Renze Lou; Jiacheng Xu; Bo Pang; Yingbo Zhou; Shelby Heinecke; Silvio Savarese; Huan Wang; Caiming Xiong,2024,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ICLR 2025,ICLR
Divide-and-Conquer: Automating Code Revisions via Localization-and-Revision,10.1145/3697013,"Wang, Shangwen and Lin, Bo and Chen, Liqian and Mao, Xiaoguang",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
DivLog: Log Parsing with Prompt Enhanced In-Context Learning,10.1145/3597503.3639155,"Xu, Junjielong and Yang, Ruichun and Huo, Yintong and Zhang, Chengyu and He, Pinjia",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,ICSE
DLawBench: Evaluating LLMs Through Multi-Turn Legal Consultation,,Li Zhang; Yuzhen Shi; Yiran Hu; Jingwen Zhang; Wenbo Lv; Yubo Ma; Wei Wang; Rongyao Shi; Yuanyang Qiu; Xinran Xu; Yuemeng Qi; Linlin Miao; Jaromir Savelka; Yun Liu; Kevin Ashley; Bing Zhao; Hu Wei; Lin Qu,2026,arXiv,SE-G1 AND AI-G1,1,cs.CL,arXiv
Do advanced language models eliminate the need for prompt engineering in software engineering?,10.1145/3771933,"Wang, Guoqing and Sun, Zeyu and Ye, Sixiang and Gong, Zhihao and Chen, Yizhou and Zhao, Yifan and Liang, Qingyuan and Hao, Dan",2025,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
Do AI models help produce verified bug fixes?,,Li Huang; Ilgiz Mustafin; Marco Piccioni; Alessandro Schena; Reto Weber; Bertrand Meyer,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Do Large Language Models Pay Similar Attention Like Human Programmers When Generating Code?,10.1145/3660807,"Kou, Bonan and Chen, Shengmai and Wang, Zhijie and Ma, Lei and Zhang, Tianyi",2024,ACM,SE-G1 AND AI-G1,1,FSE/ESEC,FSE
Doc2OracLL: Investigating the Impact of Documentation on LLM-Based Test Oracle Generation,10.1145/3729354,"Hossain, Soneya Binta and Taylor, Raygan and Dwyer, Matthew",2025,ACM,SE-G1 AND AI-G1,1,FSE/ESEC,FSE
Dockerfile Flakiness: Characterization and Repair,10.1109/icse55347.2025.00238,"Shabani, Taha and Nashid, Noor and Alian, Parsa and Mesbah, Ali",2025,ACM+IEEE,SE-G1 AND AI-G1,2,Proceedings of the IEEE/ACM 47th International Conference on Software Engineering; 2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),ICSE
DockSmith: Scaling Reliable Coding Environments via an Agentic Docker Builder,,Jiaran Zhang; Luck Ma; Fanqi Wan; Di Qi; Xu Zhao; Jieyi Hou; Zhe Xie; Mengqiang Ren; Xin Wu; Zhewei Huang; Liangyu Chen; Qi Han; Xiangyu Zhang,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.AI; ICML 2026,ICML
Does Pass Rate Tell the Whole Story? Evaluating Design Constraint Compliance in LLM-based Issue Resolution,,Kai Yu; Zhenhao Zhou; Junhao Zeng; Ying Wang; Xueying Du; Zhiqiang Yuan; Junwei Liu; Ziyu Zhou; Yujia Wang; Chong Wang; Xin Peng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Domain Adaptation for Code Model-Based Unit Test Case Generation,10.1145/3650212.3680354,"Shin, Jiho and Hashtroudi, Sepehr and Hemmati, Hadi and Wang, Song",2024,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,ISSTA
Domain Knowledge Matters: Improving Prompts with Fix Templates for Repairing Python Type Errors,10.1145/3597503.3608132,"Peng, Yun and Gao, Shuzheng and Gao, Cuiyun and Huo, Yintong and Lyu, Michael",2024,ACM+IEEE,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering; 2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE),ICSE
DPO-F+: Aligning Code Repair Feedback with Developers' Preferences,,Zihan Fang; Yifan Zhang; Yueke Zhang; Kevin Leach; Yu Huang,2025,arXiv,SE-G1 AND AI-G1+SE-G2 AND AI-G1,2,cs.SE,arXiv
DRMiner: Extracting Latent Design Rationale from Jira Issue Logs,10.1145/3691620.3695019,"Zhao, Jiuang and Yang, Zitian and Zhang, Li and Lian, Xiaoli and Yang, Donghao and Tan, Xin",2024,ACM+IEEE,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering; 2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),ASE
Does SWE-Bench-Verified Test Agent Ability or Model Memory?,,Thanosan Prathifkumar; Noble Saji Mathews; Meiyappan Nagappan,2025,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE,arXiv
DynaFix: Iterative Automated Program Repair Driven by Execution-Level Dynamic Information,,Zhili Huang; Ling Xu; Chao Liu; Weifeng Sun; Xu Zhang; Yan Lei; Meng Yan; Hongyu Zhang,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Dynamic analysis enhances issue resolution,,Mingwei Liu; Zihao Wang; Zhenxi Chen; Zheng Pei; Yanlin Wang; Zibin Zheng,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE,arXiv
Dynamic Cogeneration of Bug Reproduction Test in Agentic Program Repair,,Runxiang Cheng; Michele Tufano; José Cambronero; Renyao Wei; Sherry Shi; Grant Uy; Pat Rondon; Franjo Ivančić,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.SE; FSE 2026 (Industry Track); FSE/ESEC,FSE
Echo: Graph-Enhanced Retrieval and Execution Feedback for Issue Reproduction Test Generation,,Zhiwei Fei; Yue Pan; Federica Sarro; Jidong Ge; Marc Liu; Vincent Ng; He Ye,2026,arXiv,SE-G2 AND AI-G2,1,cs.SE,arXiv
Ecosystem of Large Language Models for Code,10.1145/3731753,"Yang, Zhou and Shi, Jieke and Devanbu, Premkumar and Lo, David",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
EET: Experience-Driven Early Termination for Cost-Efficient Software Engineering Agents,,Yaoqi Guo; Ying Xiao; Jie M. Zhang; Mark Harman; Yiling Lou; Yang Liu; Zhenpeng Chen,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ACL 2026 (Findings); ACL (Findings),ACL
Effective Strategies for Asynchronous Software Engineering Agents,,Jiayi Geng; Graham Neubig,2026,arXiv,SE-G1 AND AI-G2+SE-G2 AND AI-G2,2,cs.CL,arXiv
EffFix: Efficient and Effective Repair of Pointer Manipulating Programs,10.1145/3705310,"Zhang, Yuntong and Costea, Andreea and Shariffdeen, Ridwan and McCall, Davin and Roychoudhury, Abhik",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,ACM Trans. Softw. Eng. Methodol.,TOSEM
"Efficient and Green Large Language Models for Software Engineering: Literature Review, Vision, and the Road Ahead",10.1145/3708525,"Shi, Jieke and Yang, Zhou and Lo, David",2025,ACM,SE-G1 AND AI-G1,1,ACM Trans. Softw. Eng. Methodol.,TOSEM
EGSS: Entropy-guided Stepwise Scaling for Reliable Software Engineering,,Chenhui Mao; Yuanting Lei; Zhixiang Wei; Ming Liang; Zhixiang Wang; Jingxuan Xu; Dajun Chen; Wei Jiang; Yong Li,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; ACL 2026,ACL
Element-Based Automated DNN Repair with Fine-Tuned Masked Language Model,10.1145/3715716,"Wang, Xu and Zhang, Mingming and Meng, Xiangxin and Zhang, Jian and Liu, Yang and Hu, Chunming",2025,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,FSE/ESEC,FSE
Emerging Results in Using Explainable AI to Improve Software Vulnerability Prediction,10.1145/3696630.3728499,"Al Debeyan, Fahad and Hall, Tracy and Madeyski, Lech",2025,ACM,SE-G1 AND AI-G1,1,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,FSE
Empirical Evaluation of Large Language Models in Automated Program Repair,,Jiajun Sun; Fengjie Li; Xinzhu Qi; Hongyu Zhang; Jiajun Jiang,2025,arXiv,SE-G1 AND AI-G1,1,cs.SE,arXiv
Empowering Autonomous Debugging Agents with Efficient Dynamic Analysis,,Jiahong Xiang; Xiaoyang Xu; Xiaopan Chu; Hongliang Tian; Yuqun Zhang,2026,arXiv,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,cs.SE; FSE 2026,FSE
Energy Consumption of Automated Program Repair,10.1145/3639478.3643114,"Martinez, Matias and Martínez-Fernández, Silverio and Franch, Xavier",2024,ACM,SE-G1 AND AI-G1+SE-G2 AND AI-G1+SE-G2 AND AI-G2,3,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,ICSE
Enhanced Web Testing with LLMs: A Research Roadmap,10.1145/3795887,"Wang, Weizhe and Guo, Zhenqi and Yan, Qingyang and Yang, Zenghao and Zhang, Yao and Xu, Guangquan and Li, Xiaoming and Wu, Bin",2026,ACM,SE-G1 AND AI-G1+SE-G1 AND AI-G2+SE-G2 AND AI-G1+SE-G2 AND AI-G2,4,ACM Trans. Softw. Eng. Methodol.,TOSEM
