Publication Year,Author,Title,Url,Date,Short Title,Venue,Archive,Primary Category,Modified,1 means Modified compared to last updated,Bibtex Finished
2026,"Xie, Yiqing; Liu, Emmy; Zhang, Gaokai; Kotalwar, Nachiket; Gandhi, Shubham; Acharya, Sathwik; Wang, Xingyao; Rose, Carolyn; Neubig, Graham; Fried, Daniel",Hybrid-Gym: Training Coding Agents to Generalize Across Tasks,https://arxiv.org/abs/2602.16819,202602,Hybrid-Gym,arXiv only,Train Dataset,Training,0,,1
2026,"Chen, Mouxiang; Zhang, Lei; Feng, Yunlong; Wang, Xuwu; Zhao, Wenting; Cao, Ruisheng; Yang, Jiaxi; Chen, Jiawei; Li, Mingze; Ma, Zeyao; Ge, Hao; Zhang, Zongmeng; Cui, Zeyu; Liu, Dayiheng; Zhou, Jingren; Sun, Jianling; Lin, Junyang; Hui, Binyuan",SWE-Universe: Scale Real-World Verifiable Environments to Millions,http://arxiv.org/abs/2602.02361,20260202,SWE-Universe,arXiv only,Train Dataset,Training,0,,1
2026,"Xu, Yisen; Yang, Jinqiu; Tse-Hsun; Chen",SWE-Refactor: A Repository-Level Benchmark for Real-World LLM-Based Code Refactoring,http://arxiv.org/abs/2602.03712,20260203,SWE-Refactor,arXiv only,Benchmark,Benchmark,0,,1
2026,"Sun, Shuang; Song, Huatong; Huang, Lisheng; Jiang, Jinhao; Le, Ran; Lv, Zhihao; Chen, Zongchao; Hu, Yiwen; Luo, Wenyang; Zhao, Wayne Xin; Song, Yang; Xu, Hongteng; Zhang, Tao; Wen, Ji-Rong",SWE-World: Building Software Engineering Agents in Docker-Free Environments,http://arxiv.org/abs/2602.03419,20260203,SWE-World,arXiv only,Train,Training,0,,1
2026,"Song, Huatong; Huang, Lisheng; Sun, Shuang; Jiang, Jinhao; Le, Ran; Cheng, Daixuan; Chen, Guoxin; Hu, Yiwen; Chen, Zongchao; Zhao, Wayne Xin; Song, Yang; Zhang, Tao; Wen, Ji-Rong",SWE-Master: Unleashing the Potential of Software Engineering Agents via Post-Training,http://arxiv.org/abs/2602.03411,20260203,SWE-Master,arXiv only,Train,Training,0,,1
2026,"Luo, Jane; Yin, Chengyu; Zhang, Xin; Li, Qingtao; Liu, Steven; Huang, Yiming; Wu, Jie; Liu, Hao; Huang, Yangyu; Kang, Yu; Yang, Fangkai; Xin, Ying; Li, Scarlett",Closing the Loop: Universal Repository Representation with RPG-Encoder,http://arxiv.org/abs/2602.02084,20260203,RPG,arXiv only,Localization,Scaffold/Method Design,1,,1
2026,"Martinez, Matias; Franch, Xavier",What's in a Benchmark? The Case of SWE-Bench in Automated Program Repair,https://arxiv.org/abs/2602.04449,20260204,Dissecting the SWE-Bench Leaderboards,ICSE,Empirical,Empirical,1,,1
2026,"Tang, Xiaoxuan; Wang, Jincheng; Luo, Liwei; Xu, Jingxuan; Zhou, Sheng; Chen, Dajun; Jiang, Wei; Li, Yong",SVRepair: Structured Visual Reasoning for Automated Program Repair,http://arxiv.org/abs/2602.06090,20260205,SVRepair,arXiv only,E2E Agent,Scaffold/Method Design,0,,1
2026,"Li, Han; Zhu, Letian; Zhang, Bohan; Feng, Rili; Wang, Jiaming; Pan, Yue; Barr, Earl T.; Federica, Sarro; Chu, Zhaoyang; Ye, He",ContextBench: A Benchmark for Context Retrieval in Coding Agents,http://arxiv.org/abs/2602.05892,20260205,ContextBench,arXiv only,Benchmark,Benchmark,0,,1
2026,"Ding, Yifeng; Zhang, Lingming",SWE-Replay: Efficient Test-Time Scaling for Software Engineering Agents,http://arxiv.org/abs/2601.22129,20260205,SWE-Replay,arXiv only,Selection,Scaffold/Method Design,0,,1
2026,"Zhu, Jared; Hu, Minhao; Wu, Junde",SWE Context Bench: A Benchmark for Context Learning in Coding,http://arxiv.org/abs/2602.08316,20260209,SWE Context Bench,arXiv only,Benchmark,Benchmark,0,,1
2026,"Zhao, Jiale; Chen, Guoxin; Meng, Fanzhe; Li, Minghao; Chen, Jie; Xu, Hui; Sun, Yongshuai; Zhao, Xin; Song, Ruihua; Zhang, Yuan; Wang, Peng; Chen, Cheng; Wen, Jirong; Jia, Kai",Immersion in the GitHub Universe: Scaling Coding Agents to Mastery,http://arxiv.org/abs/2602.09892,20260210,Scale-SWE,arXiv only,Train Dataset,Training,0,,1
2026,"Tian, Muxin; Wang, Zhe; Yang, Blair; Tang, Zhenwei; Zhu, Kunlun; Dong, Honghua; Li, Hanchen; Xie, Xinni; Wang, Guangjing; You, Jiaxuan",SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications?,http://arxiv.org/abs/2602.09540,20260210,SWE-Bench Mobile,arXiv only,Benchmark,Benchmark,0,,1
2026,"Yuan, Danlong; Wu, Wei; Wang, Zhengren; Zhao, Xueliang; Zhang, Huishuai; Zhao, Dongyan",SWE-MiniSandbox: Container-Free Reinforcement Learning for Building Software Engineering Agents,http://arxiv.org/abs/2602.11210,20260211,SWE-MiniSandbox,ICML,Train Dataset,Training,0,,1
2026,"Zhou, Qixing; Zhang, Jiacheng; Wang, Haiyang; Hao, Rui; Wang, Jiahe; Han, Minghao; Yang, Yuxue; Wu, Shuzhe; Pan, Feiyang; Fan, Lue; Tu, Dandan; Zhang, Zhaoxiang",FeatureBench: Benchmarking Agentic Coding for Complex Feature Development,http://arxiv.org/abs/2602.10975,20260211,FeatureBench,ICLR,Benchmark,Benchmark,0,,1
